"","cname","att_support","arms_export","arms_import","conflict","security_apparatus","aid","commonlaw","treaties","polity","refugee","cinc","threat","gdp","gov_eff"
"130","Oman","No support",1.4,471.6,0,5.56,0,0,77,-8,3.1875,0.0016407,-0.7833398,9.77879968861248,0.081546336
"131","Pakistan","No support",1.2,802.4,253.2,0.66,0,0,142,7,6128.3345323741,0.0145536,2.482708,7.24539810291289,-0.66747302
"132","Palau","Strong Support",0,0,0,NA,0,1,56,NA,1.375,0.000000591,-0.91947377,9.45191855648565,-0.53627837
"133","Panama","Strong Support",0,9.666666667,0,4.75740924675774,0,0,132,9,8.87837837837838,0.0002897,-0.38607726,9.51573476664615,0.29233739
"134","Papua New Guinea","No support",0,4.666666667,0,3.07817441352064,0,0,78,5,71.275,0.0002591,0.42214832,7.88018410951169,-0.60648978
"135","Paraguay","Strong Support",0,0,0,3.51948212071547,0,0,136,9,10.4024390243902,0.0005314,-0.038498022,8.6568226598345,-0.94836968
"136","Peru","Strong Support",0,148.4,3.4,3,0,0,126,9,107.119047619048,0.0033976,0.39757141,8.75562965912177,-0.27690369
"137","Philippines","Weak Support",0,139.6,184.2,0.640000000000001,0,0,156,8,2588.51048951049,0.0056156,0.85566247,7.96703283293009,0.11236677
"138","Poland","Strong Support",13.4,163.2,0,7.84,0.1118696,0,325,10,67.8031496062992,0.005493,-0.87485236,9.50265037561532,0.79897565
"139","Portugal","Strong Support",51.2,11.8,0,8.54,0.1849646,0,252,10,7.04109589041096,0.0017053,-0.91784012,9.9447996936669,1.2205762
"140","Qatar","No support",0.6,589.8,0,7.5,0,0,92,-10,4.22,0.0015054,-0.99663037,11.1916962284676,0.95512664
"141","South Korea","Strong Support",515.4,898.2,0,7.84,0.1410466,0,160,8,28.2347826086957,0.0232122,-0.16101412,10.2267120495775,1.0126078
"142","Moldova","Strong Support",0,0,0,3.66,0,0,306,9,98.776,0.0002345,0.32744017,7.65204350051967,-0.6546551
"143","Romania","Strong Support",0,64.2,0,6.76,0.0977214,0,366,9,89.1658291457286,0.0023578,-0.18911444,9.18903620404909,-0.056023832
"144","Russia","No support",6012.8,113.4,68.6,1.12,0.0703304,0,348,4,824.986554621849,0.0400789,1.0293351,9.37486387871083,-0.20435052
"145","Rwanda","Weak Support",0,13,7.6,3.95207202938155,0,0,113,-3,1606.01990811639,0.0006628,-0.013241149,6.56995281616223,-0.045735646
"146","St. Kitts & Nevis","Strong Support",0,0,0,NA,0,1,57,NA,5.71739130434783,0.00000147,-0.58232635,9.74920088362944,0.1174361
"147","St. Lucia","Strong Support",0,0,0,NA,0,0,74,NA,133.9,0.00000467,-0.8536908,9.10548836667171,-0.079123132
"148","St. Vincent & Grenadines","Strong Support",0,0,0,NA,0,1,95,NA,244.5,0.00000273,-1.0047245,8.83429413963099,0.029985474
"149","Samoa","Strong Support",0,0,0,5.06,0,0,76,NA,3.47058823529412,0.00000476,-1.1839739,8.33656133568107,0.50867271
"150","San Marino","Strong Support",0,0,0,NA,0,0,243,NA,1,0.00000189,-0.91947377,10.838498888923,NA
"151","São Tomé & Príncipe","Weak Support",0,0,0,4.7,0,0,61,NA,8.90476190476191,0.00000716,-0.14404257,7.46744654532614,-0.75087088
"152","Saudi Arabia","No support",0.6,3373.6,13.8,3.58,0,0,100,-10,25.7172413793103,0.0137426,0.62639898,10.0085142635874,0.20006691
"153","Senegal","Strong Support",0,23.2,0.8,3.86,0,0,147,7,408.848214285714,0.0007411,0.1166648,7.1621993966498,-0.45029727
"154","Serbia","Strong Support",14.2,42.66666667,0,4.28,0,0,356,8,3485.25592417062,0.0008547,-0.23898202,8.66969712970861,0.11124381
"155","Seychelles","Strong Support",0,11,0,3.7,0,0,115,NA,3.04081632653061,0.00000357,-0.68877977,9.61471840396448,0.4230102
"156","Sierra Leone","Strong Support",0,0.5,0,5.39286176976021,0,0,119,7,74.3869346733668,0.0003226,0.10251676,6.39108477480011,-1.2797055
"157","Singapore","Weak Support",19.4,371.6,0,8.36,0,0,102,-2,6.42307692307692,0.0030085,-1.3117528,10.9375419349899,2.2367561
"158","Slovakia","Strong Support",12.6,40.5,0,7.84,0.1067406,0,402,10,60.8953488372093,0.0010607,-0.87454522,9.76568629563036,0.83792001
"159","Slovenia","Strong Support",0,1,0,8.16,0.1499164,0,323,10,4.09302325581395,0.0002811,-0.95339274,10.031750122799,0.97262871
"160","Solomon Islands","No support",0,0,0,3.8,0,0,69,8,20.1034482758621,0.0000134,-0.66098475,7.62030001127682,-1.0243671
"161","Somalia","No support",0,1.666666667,352.4,0.42,0,0,45,5,12988.7717502559,0.0006865,2.3808279,6.1773289349082,-2.1969631
"162","South Africa","Strong Support",90,26,0.4,4.3,0,0,209,9,26.4089068825911,0.0069406,0.21299294,8.71347953440337,0.26167539
"163","South Sudan","No support",0,20.66666667,99,0.0199999999999996,0,NA,23,0,39396.7841945289,0.0017923,2.375689,NA,-2.1631794
"164","Spain","Strong Support",938.4,114.4,0.6,6.84,0.1925424,0,352,10,8.50515463917526,0.0081208,-0.25149119,10.2362595542957,1.1742657
"165","Sri Lanka","No support",0,49.66666667,0.4,2.36,0,0,140,4.8,1371.29953198128,0.0021227,-0.090368114,8.25349556484445,-0.0091447802
"166","Palestinian Territories","Strong Support",0,0,0,NA,0,NA,NA,NA,702.43519781719,NA,NA,NA,NA
"167","Sudan","No support",0,73.2,192.8,0.800000000000001,0,0,81,-4,16448.086622807,0.0029977,2.1621833,7.77988770678957,-1.4623939
"168","Suriname","Strong Support",0,3,0,4.85392018149829,0,0,70,5,6.22222222222222,0.000049,-0.2566883,8.95225899458422,-0.34576523
"169","Sweden","Strong Support",200.6,46.5,0.2,7.84,1.0944578,0,377,10,2.81481481481481,0.0021301,-0.94710642,10.916152855985,1.8161975
"170","Switzerland","Strong Support",288.6,26.8,0,8.62,0.4930554,0,354,10,2.72727272727273,0.0014276,-1.339359,11.3246179663929,1.9983659
"171","Syria","No support",0,51.4,0,0.0600000000000005,0,0,107,-9,52302.3067033976,0.0048405,2.974081,NA,-1.5904602
"172","Tajikistan","No support",0,10,0.4,3.22,0,0,78,-3,49.5972222222222,0.0003635,0.88264227,6.83742293171935,-0.84822345
"173","Thailand","Weak Support",0.8,295,67,1.26,0.0246242,0,146,-1,28.5818181818182,0.0077178,0.99442929,8.71744900006839,0.35027757
"174","Macedonia","Strong Support",0,0,0,4.46,0,0,284,9,192.814229249012,0.0002307,0.28701606,8.55885992677047,0.11849307
"175","Timor-Leste","No support",0,0,0,2.56,0,0,44,8,3,0.0000417,0.27188635,7.99791957658198,-1.0455244
"176","Timor-Leste","No support",0,0,0,2.56,0,0,44,8,3,0.0000417,0.27188635,7.99791957658198,-1.0455244
"177","Togo","Strong Support",0,16,0,3.18,0,0,120,-2,110.368421052632,0.0003371,0.23134805,6.39864513873253,-1.1894482
"178","Tonga","No support",0,5,0,NA,0,1,78,NA,19.2962962962963,0.00000253,-0.88633436,8.30759630643102,-0.33013794
"179","Trinidad & Tobago","Strong Support",0,38,0,4.02011584824555,0,1,141,10,53.5686274509804,0.0004905,-0.28611431,9.8003105094772,0.23260096
"180","Tunisia","No support",0,69.8,3.2,2.14,0,0,183,6.8,43.1291079812207,0.000965,0.96038723,8.26523245427703,-0.10331275
"181","Turkey","Weak Support",281,681.6,104.8,2.15937781910354,0.6123976,0,285,1.4,708.916814159292,0.0152386,1.493914,9.34248843278829,0.22311984
"182","Turkmenistan","No support",0,191.5,0,3.52,0,0,82,-8,30.3045454545455,0.0007789,0.087798864,8.84434933073223,-0.85044879
"183","Tuvalu","Strong Support",0,0,0,NA,0,1,37,NA,1.05882352941176,0.000000244,-1.3912883,8.12937438735059,-0.96350503
"184","Uganda","No support",0.8,5.8,0.8,2.59196345072748,0,0,131,-1,112.878048780488,0.0015158,0.80450165,6.46805176986403,-0.48569322
"185","United Kingdom","Strong Support",1234.2,470.4,0,7.28,0.701824,1,374,10,13.7777777777778,0.015277,-0.51774794,10.668358647774,1.7440324
"186","Ukraine","Weak Support",390.2,19.75,168.6,2.91960907422916,0,0,298,4.4,12233.4515570934,0.0082312,1.9618001,7.94354084554391,-0.52352363
"187","United Arab Emirates","Weak Support",102,1085,0,6.9,1.2038358,0,91,-8,8.976,0.0028829,-0.75954539,10.6266638249283,1.5098718
"188","Tanzania","Weak Support",0,17.2,0.2,4.63849829221079,0,0,112,1.4,27.9783783783784,0.0021146,0.41619435,6.84613188374129,-0.61055547
"189","Uruguay","Strong Support",0,10.33333333,0,6.3,0,0,142,10,10.0617283950617,0.0005186,-1.0042382,9.68890593900035,0.52902639
"190","United States","Weak Support",10496,529.4,0.4,6.98713419629639,0.1795708,1,128,9.2,79.0214592274678,0.1393526,-0.67806238,10.9429705930986,1.463782
"191","Uzbekistan","No support",20.4,44.75,0,2.66,0,0,95,-9,77.3566591422122,0.0026664,0.37303641,7.57529465741099,-0.6717844
"192","Vanuatu","Weak Support",0,0,0,NA,0,0,70,NA,2.3,0.00000612,-0.47840893,8.01579372821287,-0.78360128
"193","Venezuela","No support",0,161.6666667,4.6,3.16421499632609,0,0,113,2.6,829.882736156352,0.0049272,0.9771809,NA,-1.219932
"194","Vietnam","No support",0,847.8,0,5.22,0,0,110,-7,4514.65277777778,0.0088437,-0.069970489,7.64601280786727,0.067519069
"195","Yemen","No support",0,12.2,248.2,0.16,0,0,74,0.6,12095.6848184818,0.0017423,2.6802216,7.29286135544593,-1.6271526
"196","Zambia","Strong Support",0,33.66666667,0,5.22,0,0,114,6.6,15.7540106951872,0.000812,-0.15169486,7.33681154191661,-0.56007975
"197","Zimbabwe","Weak Support",0,0,0,1.8,0,0,114,4,921.685138539043,0.0008802,0.61815631,7.15526139584182,-1.1557114
